iter	Passed	Remaining
0	1	124
1	2	112
2	4	140
3	5	138
4	7	143
5	8	138
6	10	136
7	11	133
8	12	130
9	14	127
10	15	123
11	16	121
12	17	119
13	19	122
14	21	121
15	22	120
16	24	119
17	25	118
18	27	117
19	29	117
20	30	114
21	31	112
22	32	109
23	34	110
24	36	110
25	38	108
26	39	106
27	40	104
28	41	102
29	42	100
30	43	97
31	45	95
32	48	99
33	53	103
34	54	101
35	56	99
36	57	97
37	58	95
38	59	93
39	62	93
40	65	93
41	65	91
42	67	89
43	68	87
44	70	85
45	71	83
46	72	81
47	73	79
48	74	77
49	76	76
50	77	74
51	80	74
52	82	72
53	83	71
54	84	68
55	85	67
56	86	65
57	88	63
58	90	62
59	91	60
60	92	59
61	96	59
62	98	57
63	99	56
64	101	54
65	103	53
66	105	52
67	107	50
68	110	49
69	113	48
70	114	46
71	115	45
72	117	43
73	119	41
74	120	40
75	122	38
76	126	37
77	128	36
78	129	34
79	131	32
80	132	31
81	134	29
82	135	27
83	136	26
84	138	24
85	140	22
86	142	21
87	143	19
88	145	17
89	146	16
90	147	14
91	149	12
92	150	11
93	151	9
94	152	8
95	153	6
96	155	4
97	157	3
98	158	1
99	159	0
