iter	Passed	Remaining
0	133	133603
1	135	67543
2	137	45749
3	139	34690
4	140	28003
5	142	23546
6	143	20397
7	145	18075
8	147	16208
9	148	14714
10	150	13488
11	151	12475
12	152	11604
13	154	10856
14	156	10279
15	157	9710
16	159	9238
17	161	8812
18	162	8407
19	164	8050
20	165	7724
21	167	7430
22	169	7191
23	170	6943
24	172	6735
25	174	6529
26	175	6329
27	177	6145
28	178	5978
29	180	5833
30	182	5692
31	184	5566
32	186	5458
33	187	5336
34	189	5217
35	190	5105
36	192	5005
37	193	4907
38	198	4886
39	200	4811
40	201	4722
41	203	4641
42	205	4577
43	207	4504
44	208	4433
45	213	4435
46	215	4375
47	217	4308
48	219	4256
49	220	4198
50	222	4140
51	224	4084
52	229	4096
53	232	4065
54	233	4012
55	235	3972
56	237	3930
57	239	3885
58	243	3887
59	245	3841
60	246	3799
61	248	3757
62	250	3730
63	252	3697
64	255	3670
65	256	3633
66	258	3595
67	260	3563
68	263	3552
69	268	3571
70	270	3544
71	272	3510
72	275	3494
73	276	3465
74	279	3450
75	282	3440
76	285	3424
77	287	3397
78	289	3369
79	290	3346
80	292	3319
81	295	3304
82	297	3289
83	300	3282
84	302	3256
85	304	3231
86	305	3206
87	307	3183
88	310	3177
89	313	3171
90	315	3151
91	317	3137
92	319	3115
93	320	3093
94	322	3071
95	324	3055
96	331	3082
97	332	3062
98	334	3041
99	335	3021
100	337	3001
101	339	2986
102	340	2969
103	347	2994
104	349	2979
105	352	2970
106	354	2954
107	355	2938
108	360	2949
109	363	2939
110	365	2923
111	366	2904
112	367	2887
113	369	2870
114	370	2854
115	374	2856
116	376	2841
117	378	2827
118	380	2816
119	381	2800
120	383	2786
121	384	2769
122	386	2756
123	390	2758
124	392	2747
125	394	2737
126	396	2722
127	398	2711
128	399	2698
129	401	2685
130	406	2693
131	407	2682
132	409	2670
133	411	2657
134	412	2645
135	414	2634
136	416	2622
137	418	2613
138	420	2606
139	424	2604
140	425	2593
141	426	2579
142	428	2567
143	430	2556
144	432	2547
145	434	2538
146	436	2531
147	438	2522
148	442	2528
149	444	2518
150	446	2507
151	449	2506
152	450	2496
153	453	2491
154	455	2480
155	457	2474
156	459	2466
157	461	2458
158	463	2452
159	465	2445
160	467	2433
161	468	2424
162	470	2414
163	472	2407
164	473	2397
165	475	2389
166	480	2397
167	482	2389
168	484	2381
169	486	2373
170	487	2364
171	489	2354
172	491	2347
173	497	2359
174	499	2353
175	500	2344
176	503	2341
177	506	2339
178	512	2350
179	514	2345
180	516	2335
181	520	2337
182	522	2331
183	526	2334
184	528	2326
185	530	2320
186	531	2311
187	533	2303
188	535	2296
189	536	2288
190	539	2286
191	543	2288
192	545	2279
193	546	2271
194	548	2263
195	550	2258
196	552	2250
197	554	2246
198	556	2239
199	558	2233
200	559	2225
201	561	2217
202	562	2210
203	565	2205
204	566	2198
205	569	2195
206	571	2188
207	573	2183
208	575	2177
209	577	2170
210	578	2164
211	580	2157
212	584	2161
213	586	2155
214	588	2149
215	590	2143
216	592	2136
217	593	2128
218	594	2121
219	596	2113
220	597	2106
221	600	2104
222	602	2098
223	603	2091
224	605	2086
225	607	2079
226	609	2073
227	610	2067
228	612	2062
229	616	2065
230	618	2059
231	621	2056
232	622	2049
233	624	2043
234	625	2037
235	630	2040
236	632	2037
237	634	2031
238	635	2024
239	637	2019
240	639	2013
241	640	2007
242	643	2004
243	645	2000
244	647	1995
245	649	1990
246	651	1984
247	652	1979
248	654	1974
249	656	1968
250	660	1971
251	662	1967
252	664	1961
253	666	1956
254	667	1950
255	669	1944
256	670	1939
257	676	1944
258	677	1939
259	679	1933
260	681	1929
261	683	1925
262	685	1919
263	686	1914
264	691	1917
265	693	1913
266	696	1912
267	697	1906
268	699	1901
269	701	1895
270	705	1897
271	707	1894
272	709	1890
273	711	1885
274	714	1882
275	715	1877
276	718	1875
277	720	1871
278	722	1867
279	724	1863
280	726	1857
281	727	1852
282	729	1847
283	731	1842
284	733	1839
285	735	1835
286	737	1832
287	739	1828
288	741	1823
289	742	1818
290	744	1813
291	745	1808
292	748	1806
293	750	1801
294	751	1796
295	753	1792
296	755	1787
297	756	1782
298	758	1778
299	760	1773
300	763	1773
301	765	1769
302	766	1764
303	768	1760
304	770	1755
305	772	1751
306	773	1747
307	775	1742
308	778	1740
309	780	1737
310	782	1733
311	783	1728
312	785	1723
313	787	1719
314	789	1716
315	790	1711
316	794	1711
317	796	1707
318	797	1702
319	799	1698
320	800	1694
321	802	1689
322	804	1686
323	806	1682
324	809	1680
325	810	1676
326	812	1671
327	814	1667
328	815	1663
